t,x_1,x_2,x_3,x_4,x_5,x_6,fb,fa,Tr,dx_dt_1,dx_dt_2,dx_dt_3,dx_dt_4,dx_dt_5,dx_dt_6
1020.0,0.12090018808721165,0.41101126854859976,0.02250978947972536,0.27185609912963166,0.1075997079606228,0.10992217889914943,6.091109369944852,2.4,358.64852470581803,-4.491980084131848e-05,-2.7225843996463165e-06,-1.0512846982627114e-05,-1.4489438331912758e-05,-8.55461116806055e-05,-1.8510918777169655e-05
1050.0,0.11955259406197208,0.41092959101661036,0.022194404070246546,0.2714214159796743,0.10503332461020463,0.10936685133583433,6.091109369944852,2.4,358.882369937547,-3.997459967154166e-05,-3.334461955997782e-06,-9.392534291033582e-06,-1.1835930201292938e-05,-7.48396537511033e-05,-1.5938193364113728e-05
1080.0,0.11835335607182583,0.41082955715793046,0.021912628041515538,0.2710663380736355,0.10278813499767153,0.10888870553491092,6.091109369944852,2.4,359.09161657072576,-3.548512463697452e-05,-3.555888681119486e-06,-8.316305758346325e-06,-9.85077782712618e-06,-6.547385288992241e-05,-1.383549754755385e-05
1110.0,0.11728880233271659,0.4107228804974969,0.02166313886876515,0.2707708147388217,0.10082391941097385,0.10847364060848431,6.091109369944852,2.4,359.28090233160174,-3.152982571167148e-05,-3.7445031104173708e-06,-7.430076436350916e-06,-8.099539286652291e-06,-5.7189077665523966e-05,-1.2001625069441544e-05
1140.0,0.11634290756136645,0.41061054540418435,0.021440236575674624,0.2705278285602221,0.09910824708100813,0.10811359185640106,6.091109369944852,2.4,359.44861572385247,-2.791422129469579e-05,-3.603380048487178e-06,-6.530708062809174e-06,-6.896037006700796e-06,-5.000099453260962e-05,-1.0526272070543018e-05
1170.0,0.11550548092252558,0.4105024440027297,0.021244315333790346,0.2703209474500211,0.09760821724502984,0.10779780369428478,6.091109369944852,2.4,359.6001288581958,-2.4764520959932696e-05,-3.5721813003076735e-06,-5.849429823682282e-06,-5.709117256597256e-06,-4.362773381707119e-05,-9.183328368131851e-06
1200.0,0.11476254529372759,0.41039527856372054,0.02106883243907988,0.2701496739323232,0.0962993852305177,0.10752230384324082,6.091109369944852,2.4,359.7330893271746,-2.1863974544744966e-05,-3.2417708250610706e-06,-5.090788410086351e-06,-5.0077137476680866e-06,-3.814893692919911e-05,-8.132818752589001e-06
1230.0,0.11410662605738524,0.41029802543896865,0.020916108786777285,0.2699994425198931,0.09515491712264174,0.10727831928066316,6.091109369944852,2.4,359.8532778689113,-1.9372181677943665e-05,-3.125806383074943e-06,-4.5894468541074686e-06,-4.1576859928488405e-06,-3.326219922045217e-05,-7.116376357346804e-06
1260.0,0.11352546060704692,0.41020425124747645,0.020778425381154063,0.26987471194010765,0.09415705114602817,0.10706482798994274,6.091109369944852,2.4,359.95779445356686,-1.705863666417818e-05,-2.7194210666874512e-06,-3.939730851482968e-06,-3.7727788539488433e-06,-2.9107129822610593e-05,-6.35733423412895e-06
1290.0,0.11301370150712158,0.4101226686154758,0.020660233455609574,0.2697615285744892,0.09328383725134985,0.10687410796291887,6.091109369944852,2.4,360.05245736305204,-1.510061153748147e-05,-2.5963411126356013e-06,-3.5955609096638294e-06,-3.1172366526826895e-06,-2.536388668629272e-05,-5.5619040569734776e-06
1320.0,0.11256068316099713,0.41004477838209674,0.02055236662831966,0.2696680114749087,0.09252292065076108,0.10670725084120967,6.091109369944852,2.4,360.1341121715146,-1.326715209151018e-05,-2.1803020194737285e-06,-3.026815553228844e-06,-2.931915472708726e-06,-2.22239625053453e-05,-5.0080949293675506e-06
1350.0,0.11216266859825182,0.4099793693215125,0.020461562161722794,0.2695800540107275,0.09185620177560072,0.10655700799332865,6.091109369944852,2.4,360.20824569421,-1.1737001987732825e-05,-2.0868106462067272e-06,-2.818946104763185e-06,-2.387444376264956e-06,-1.935416081966145e-05,-4.367158858828194e-06
1380.0,0.11181055853861983,0.4099167650021263,0.020376993778579898,0.26950843067943947,0.09127557695101088,0.1064259932275638,6.091109369944852,2.4,360.27179142581247,-1.0293760973279312e-05,-1.6955675990402832e-06,-2.3073479272008855e-06,-2.330432937296162e-06,-1.698753931354954e-05,-3.962627987535021e-06
1410.0,0.11150174570942147,0.4098658979741551,0.02030777334076387,0.2694385176913206,0.09076595077160439,0.10630711438793776,6.091109369944852,2.4,360.32956218210074,-9.101733077602175e-06,-1.6427084099470875e-06,-2.216821871188315e-06,-1.8513320856238414e-06,-1.4782496366922838e-05,-3.434181411538569e-06
